"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"47","Normal/Others","WS/MP18157/2025-2026/239570-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","3000Lt Mobile Water Tank in Vill. Galib Kalan, Block Jagraon, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","23-Feb-2026","250000"
"48","Normal/Others","WS/MP18157/2025-2026/239569-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Street and Drain in Vill. Galib Kalan, Block Jagraon, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","09-Apr-2026","250000"
"49","Normal/Others","WS/MP18157/2025-2026/239568-Construction of additional rooms and halls in the existing public and community building","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Repair of Chahal Patti Shamshan Ghat Vill. Galib Kalan, Block Jagraon, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","23-Feb-2026","400000"
"50","Normal/Others","WS/MP18157/2024-2025/172488-Development of playground","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of New Park in Front of Govt. Sen. Sec. School, Guram in Village Guram, Block Dehlon, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","16-Mar-2026","500000"
"51","Normal/Others","WS/MP18157/2025-2026/188725-Construction of boundary walls of existing public and community buildings","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","of Shamshanghat, Vill. Gag Kalan, Block Sidhwan Bet, Distt. Ludhiana.","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","12-Mar-2026","175074"
"52","Normal/Others","WS/MP18157/2025-2026/188716-Construction of common work sheds/ common covered sitting area","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Shelter at General Shamshanghat, Vill. Akkuwal, Block Sidhwan Bet, Distt. Ludhiana.","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","19-Mar-2026","136490"
"53","Normal/Others","WS/MP18157/2025-2026/188708-Construction of buildings for sports facilities","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Sports Room in Play Ground In Vill. Dholan, Block Pakhowal, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","11-May-2026","400000"
"54","Normal/Others","WS/MP18157/2025-2026/239560-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Street with Interlocking tiles From Gurudwara Shri Guru Granth Sahib ji main gate (Dharamshala) to Medical Store, Vill. Rasulpur (Mallah), Block Jagraon, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","20-Mar-2026","700000"
"55","Normal/Others","WS/MP18157/2025-2026/198799-Construction of common work sheds/ common covered sitting area","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Shelter at Shamshanghat, Vill. Walipur Kalan, Block Sidhwan Bet, Distt. Ludhiana.","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","20-Mar-2026","233096"
"56","Normal/Others","WS/MP18157/2025-2026/241193-Construction of boundary walls of existing public and community buildings","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Construction of Boundary Wall of Kabristan in Vill. Lehra, Block Dehlon, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","27-Mar-2026","200000"
"57","Normal/Others","WS/MP18157/2025-2026/188729-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","10000Lt Mobile Water Tank In Vill. Hujra, Block Sidhwan Bet, Distt. Ludhiana.","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","30-Mar-2026","250000"
"58","Normal/Others","WS/MP18157/2025-2026/251538-Installation of multi-gym equipment","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Provisioning of Indoor Gym Machines in Vill. Khokhar, Sri Muktsar Sahib","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","02-Apr-2026","300000"
"59","Normal/Others","WS/MP18157/2024-2025/163242-Installing tube-wells and borewells","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Installation 25 HP Water Borewell Pump, Ward no-94, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","Images","05-May-2026","1233496"
"Grand Total"," "," "," "," "," "," "," "," "," ","1,83,72,811"
