"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"53","Normal/Others","WS/MP18157/2025-2026/157070-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","3000Lt Mobile Water Tank at Sherpur, Ward no-16, Halka South, Distt. Ludhiana","05-Dec-2024","211000","30-Jul-2025"
"54","Normal/Others","WS/MP18157/2025-2026/157071-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","3000Lt Mobile Water Tank at Kanwanwal, Ward no-16, Halka South, Distt. Ludhiana","05-Dec-2024","211000","30-Jul-2025"
"55","Normal/Others","WS/MP18157/2025-2026/157072-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","3000Lt Mobile Water Tank at Ward no-30, Halka South, Distt. Ludhiana","05-Dec-2024","211000","30-Jul-2025"
"56","Normal/Others","WS/MP18157/2025-2026/188729-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","10000Lt Mobile Water Tank In Vill. Hujra, Block Sidhwan Bet, Distt. Ludhiana.","02-Apr-2025","250000","08-May-2025"
"57","Normal/Others","WS/MP18157/2025-2026/239570-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","3000Lt Mobile Water Tank in Vill. Galib Kalan, Block Jagraon, Distt. Ludhiana","03-Oct-2025","250000","26-Nov-2025"
"58","Normal/Others","WS/MP18157/2025-2026/251112-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of 25HP Mini tractor with 2500lt water tanker in In Ward no. 2, Distt. Ludhiana","28-Nov-2025","599683","18-Feb-2026"
"59","Normal/Others","WS/MP18157/2025-2026/251113-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of 25HP Mini tractor with 2500lt water tanker in In Ward no. 4, Distt. Ludhiana","28-Nov-2025","599683","18-Feb-2026"
"60","Normal/Others","WS/MP18157/2025-2026/251114-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of 25HP Mini tractor with 2500lt water tanker in In Ward no. 7, Distt. Ludhiana","28-Nov-2025","599683","18-Feb-2026"
"61","Normal/Others","WS/MP18157/2025-2026/251115-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of 25HP Mini tractor with 2500lt water tanker in In Ward no. 12, Distt. Ludhiana","28-Nov-2025","599683","18-Feb-2026"
"62","Normal/Others","WS/MP18157/2025-2026/251116-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of 25HP Mini tractor with 2500lt water tanker in In Ward no. 26, Distt. Ludhiana","28-Nov-2025","599683","18-Feb-2026"
"63","Normal/Others","WS/MP18157/2026-2027/260388-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","3000Lt Mobile Water Tank In Ward no. 46, Halka Atam Nagar, Distt. Ludhiana","20-Jan-2026","211000","07-Apr-2026"
"64","Normal/Others","WS/MP18157/2025-2026/252270-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","Provision of five (5) 3000Lt Mobile Water Tanks in ward no. 93, Halka North, Distt. Ludhiana","05-Dec-2025","1055000","16-Mar-2026"
"65","Normal/Others","WS/MP18157/2026-2027/276290-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","2500Lt Mobile Water Tank In Vill. Rajjowal, Block Ludhiana-1, Distt. Ludhiana","27-Mar-2026","200000","19-May-2026"
